Date,Power Station Name,Actual Day Peak (MW),Actual Eve Peak (MW),IMERG_PRECTOT,T2M,RH2M,ALLSKY_SFC_SW_DWN,PS,WSC,Derived_LHF_FAO
2021-04-29,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,35,0.0,28.92,58.53,5.8447,97.9,1.24,155.33285195999997
2021-04-30,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,35,19.33,28.47,65.68,5.4487,97.89,1.13,116.97306191999996
2021-05-01,"Karnaphuli Hydro PP Unit-1,2,3,4,5",35,35,1.34,27.56,69.93,6.7562,97.94,1.06,95.84890681999998
2021-05-02,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,6.99,27.74,69.14,6.2698,97.94,1.36,126.28232944
2021-05-03,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,20,6.75,26.05,73.89,5.0282,97.88,1.07,83.58959840000001
2021-05-04,"Karnaphuli Hydro PP Unit-1,2,3,4,5",22,21,5.91,25.15,77.0,4.7042,97.91,1.18,80.95861999999998
2021-05-05,"Karnaphuli Hydro PP Unit-1,2,3,4,5",22,22,0.0,26.34,62.9,6.7999,97.92,1.27,141.11070329999998
2021-05-06,"Karnaphuli Hydro PP Unit-1,2,3,4,5",22,23,2.79,27.79,58.52,5.4199,98.05,1.08,134.81630496
2021-05-07,"Karnaphuli Hydro PP Unit-1,2,3,4,5",23,23,0.35,28.07,60.89,6.6146,98.11,1.07,126.05364194
2021-05-08,"Karnaphuli Hydro PP Unit-1,2,3,4,5",22,23,7.4,28.84,58.89,5.585,97.91,0.98,121.66512722
2021-05-09,"Karnaphuli Hydro PP Unit-1,2,3,4,5",22,20,0.0,28.82,64.43,6.8712,97.8,1.31,140.70805498999997
2021-05-10,"Karnaphuli Hydro PP Unit-1,2,3,4,5",23,23,0.0,27.77,69.29,5.0474,97.78,1.14,105.35028647999997
2021-05-11,"Karnaphuli Hydro PP Unit-1,2,3,4,5",23,23,22.55,28.26,68.32,4.2276,97.69,1.11,105.99022368000004
2021-05-12,"Karnaphuli Hydro PP Unit-1,2,3,4,5",23,23,0.01,26.91,76.85,4.9829,97.57,1.25,86.82986250000002
2021-05-13,"Karnaphuli Hydro PP Unit-1,2,3,4,5",23,22,8.88,26.96,73.46,5.0208,97.6,1.27,101.15447638
2021-05-14,"Karnaphuli Hydro PP Unit-1,2,3,4,5",23,22,1.54,27.02,75.57,5.4857,97.55,1.73,126.86354863
2021-05-15,"Karnaphuli Hydro PP Unit-1,2,3,4,5",23,22,0.0,28.62,72.67,6.5357,97.72,1.38,113.81376257999996
2021-05-16,"Karnaphuli Hydro PP Unit-1,2,3,4,5",23,23,0.0,29.23,68.37,6.9247,97.76,1.06,101.38136163999997
2021-05-17,"Karnaphuli Hydro PP Unit-1,2,3,4,5",23,21,0.0,30.74,65.35,6.6194,97.7,1.31,137.94022935
2021-05-18,"Karnaphuli Hydro PP Unit-1,2,3,4,5",23,21,1.78,29.34,71.82,6.0629,97.69,1.2,102.2900184
2021-05-19,"Karnaphuli Hydro PP Unit-1,2,3,4,5",23,20,0.0,29.88,68.36,6.2815,97.61,1.36,130.39502112000002
2021-05-20,"Karnaphuli Hydro PP Unit-1,2,3,4,5",22,30,0.0,29.34,74.3,6.3792,97.62,1.42,110.39070059999996
2021-05-21,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,0.0,29.21,71.72,6.8609,97.57,1.5,128.261112
2021-05-22,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,0.34,30.46,66.92,6.6763,97.37,1.31,131.56878627999998
2021-05-23,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,54.54,29.91,76.18,5.9311,97.28,0.96,69.30133631999999
2021-05-24,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,37.58,28.99,77.03,6.7058,97.25,1.19,82.58785402
2021-05-25,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,1.86,28.7,71.76,5.2102,97.04,2.65,225.892466
2021-05-26,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,2.8,26.84,73.64,3.9048,97.18,3.11,245.93060203999988
2021-05-27,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,0.0,28.75,66.62,6.0029,97.51,2.05,206.587151
2021-05-28,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,0.0,29.96,68.09,6.9497,97.69,1.26,121.87022525999996
2021-05-29,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,0.0,29.72,69.56,6.6655,97.64,1.27,117.08590756
2021-05-30,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,20,0.0,29.79,70.6,6.0888,97.48,1.43,127.3620348
2021-05-31,"Karnaphuli Hydro PP Unit-1,2,3,4,5",20,20,13.85,27.99,77.47,5.3064,97.47,1.87,126.87359454000004
2021-06-01,"Karnaphuli Hydro PP Unit-1,2,3,4,5",20,20,69.06,26.95,88.99,1.7222,97.57,1.68,55.50889680000003
2021-06-02,"Karnaphuli Hydro PP Unit-1,2,3,4,5",20,20,12.06,27.43,84.96,3.3847,97.66,1.17,52.89246144000003
2021-06-03,"Karnaphuli Hydro PP Unit-1,2,3,4,5",20,20,4.02,28.05,84.97,5.2298,97.78,1.35,61.114986
2021-06-04,"Karnaphuli Hydro PP Unit-1,2,3,4,5",20,20,0.62,27.49,87.56,4.4856,97.72,1.43,53.481450879999976
2021-06-05,"Karnaphuli Hydro PP Unit-1,2,3,4,5",20,20,22.57,26.79,91.19,2.3758,97.64,1.54,40.69405956000003
2021-06-06,"Karnaphuli Hydro PP Unit-1,2,3,4,5",20,20,124.86,26.59,90.52,1.1374,97.61,1.63,46.31702375999999
2021-06-07,"Karnaphuli Hydro PP Unit-1,2,3,4,5",20,20,9.26,26.95,88.3,3.7409,97.5,1.33,46.69856099999999
2021-06-08,"Karnaphuli Hydro PP Unit-1,2,3,4,5",20,20,3.78,26.66,89.78,3.8671,97.39,1.41,43.203220619999975
2021-06-09,"Karnaphuli Hydro PP Unit-1,2,3,4,5",20,20,19.18,26.28,82.92,5.2294,97.27,0.82,41.93696807999998
2021-06-10,"Karnaphuli Hydro PP Unit-1,2,3,4,5",20,25,23.26,25.58,89.07,3.479,97.09,1.62,52.89492618000003
2021-06-11,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,9.46,26.68,85.95,4.7021,96.94,2.07,87.20105804999997
2021-06-12,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,0.49,27.56,85.8,5.7091,97.07,1.87,79.85053340000002
2021-06-13,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,6.48,27.57,82.73,4.7928,97.08,2.22,115.29424367999998
2021-06-14,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,1.05,27.19,86.33,4.7549,96.99,2.39,98.12498242000004
2021-06-15,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,2.37,26.52,88.36,4.3901,96.91,2.52,87.90160176000003
2021-06-16,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,1.15,26.22,88.61,3.9394,97.15,1.89,64.44567927
2021-06-17,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,5.27,25.25,89.38,4.5182,97.44,2.0,63.38016000000004
2021-06-18,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,54.03,25.19,90.5,4.3642,97.47,2.19,62.06963699999997
2021-06-19,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,78.65,24.83,94.16,2.1739,97.56,1.63,28.36531216
2021-06-20,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,49.85,25.42,90.3,2.5308,97.54,2.25,65.16290249999999
2021-06-21,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,25,1.0,24.87,89.35,3.7327,97.46,1.75,55.543477500000016
2021-06-22,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,51,0.07,26.18,86.11,4.8672,97.5,1.7,70.6807929
2021-06-23,"Karnaphuli Hydro PP Unit-1,2,3,4,5",51,49,6.29,26.2,89.01,5.173,97.59,1.99,65.46814434999999
2021-06-24,"Karnaphuli Hydro PP Unit-1,2,3,4,5",24,24,0.0,26.15,88.49,5.0026,97.47,2.08,71.65481440000005
2021-06-25,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,26,2.97,26.2,87.55,4.9418,97.4,1.68,62.61204600000002
2021-06-26,"Karnaphuli Hydro PP Unit-1,2,3,4,5",26,25,26.27,26.81,86.84,5.4708,97.59,1.6,63.15957759999997
2021-06-27,"Karnaphuli Hydro PP Unit-1,2,3,4,5",26,25,0.86,27.43,85.41,5.9359,97.75,1.58,69.29030276000002
2021-06-28,"Karnaphuli Hydro PP Unit-1,2,3,4,5",26,25,24.4,26.48,89.21,3.3948,97.69,1.96,63.36695092000006
2021-06-29,"Karnaphuli Hydro PP Unit-1,2,3,4,5",24,25,4.12,26.75,90.33,4.7604,97.53,2.16,62.6407128
2021-06-30,"Karnaphuli Hydro PP Unit-1,2,3,4,5",24,24,84.98,25.9,90.41,2.3702,97.36,2.27,65.10109164999999
2021-07-01,"Karnaphuli Hydro PP Unit-1,2,3,4,5",26,24,26.83,25.07,93.72,4.662,97.37,2.17,40.640228719999975
2021-07-02,"Karnaphuli Hydro PP Unit-1,2,3,4,5",25,26,25.84,25.61,89.04,2.7715,97.5,1.94,63.52354623999995
2021-07-03,"Karnaphuli Hydro PP Unit-1,2,3,4,5",28,27,7.56,25.08,91.38,4.4095,97.56,2.27,58.35585702000003
2021-07-04,"Karnaphuli Hydro PP Unit-1,2,3,4,5",27,28,1.44,25.66,90.02,3.9468,97.59,2.03,60.53711313999999
2021-07-05,"Karnaphuli Hydro PP Unit-1,2,3,4,5",27,53,1.96,26.91,86.48,4.819,97.48,1.66,67.34306591999999
2021-07-06,"Karnaphuli Hydro PP Unit-1,2,3,4,5",52,55,6.88,26.72,90.51,3.3062,97.37,1.76,50.08548688
2021-07-07,"Karnaphuli Hydro PP Unit-1,2,3,4,5",53,54,1.52,26.12,91.29,2.6038,97.5,1.68,43.79158055999998
2021-07-08,"Karnaphuli Hydro PP Unit-1,2,3,4,5",54,55,6.34,26.84,87.21,5.5776,97.43,1.68,64.45945128
2021-07-09,"Karnaphuli Hydro PP Unit-1,2,3,4,5",54,52,11.72,27.28,86.29,5.1151,97.31,1.44,59.312092319999934
2021-07-10,"Karnaphuli Hydro PP Unit-1,2,3,4,5",54,54,12.86,27.65,86.9,4.9915,97.32,1.2,47.285759999999954
2021-07-11,"Karnaphuli Hydro PP Unit-1,2,3,4,5",54,53,90.88,28.68,84.5,5.6218,97.51,1.16,54.269034000000005
2021-07-12,"Karnaphuli Hydro PP Unit-1,2,3,4,5",55,53,144.98,27.94,88.27,5.7672,97.56,1.21,42.73460697000002
